rho,v0,seed,N,L,status,final_step,n_samples,mean_A,mean_K,mean_B,mean_f_giant,mean_n_clusters,mean_mean_size,mean_mean_rg,mean_mean_anisotropy,mean_mean_lifetime,mean_mean_com_speed
0.1,0.2,15,180,42.42640687119285,died,4000,39,0.010093610093610091,0.012068712621237414,0.049816849816849806,0.02307692307692308,111.66666666666667,1.6166922977445521,0.2285321878819788,0.9811475732079535,66.30806935809174,0.021153169625748914
0.1,0.2,18,180,42.42640687119285,died,3500,34,0.008683473389355741,0.01065377080098062,0.042950513538748826,0.032189542483660134,107.20588235294117,1.6887278534835042,0.23715886932868713,0.9176890728364799,60.79768554986037,0.01799567982162023
0.1,0.2,16,180,42.42640687119285,died,4500,44,0.00761183261183261,0.011279674329507548,0.044552669552669545,0.028156565656565647,106.0,1.7049206284504728,0.23395501402973054,0.969798978636836,75.69789230774032,0.016246492893136497
0.1,0.2,17,180,42.42640687119285,died,4000,39,0.00883190883190883,0.011540289695034137,0.04916564916564916,0.03290598290598292,109.66666666666667,1.6463153498088843,0.2514488889794214,0.9486123151979847,66.66682904096874,0.02338188498338486
0.1,0.2,19,180,42.42640687119285,died,4000,39,0.00870980870980871,0.011308544362916688,0.04407814407814407,0.0331908831908832,107.05128205128206,1.687311692502034,0.23128393037114905,0.9701680491416612,65.95731858943867,0.01813975012008538
0.1,0.4,2,180,42.42640687119285,died,3500,34,0.011858076563958916,0.013535121851028882,0.05522875816993463,0.027287581699346405,107.70588235294117,1.680401897151505,0.25276473749446904,0.945025405772186,56.72575465269966,0.02570211158481923
0.1,0.4,3,180,42.42640687119285,died,3000,29,0.012151067323481115,0.015857265414173895,0.05692391899288451,0.0318007662835249,100.75862068965517,1.8033883167092881,0.24994107613502073,0.9633800087766522,50.87663803494773,0.025363633455530783
0.1,0.4,1,180,42.42640687119285,died,4000,39,0.008791208791208791,0.012063914042406868,0.04358974358974358,0.032193732193732214,99.64102564102564,1.8218118544717332,0.2485155730666189,0.9412699407046126,68.24511721437479,0.02058930413092714
0.1,0.4,0,180,42.42640687119285,died,5000,49,0.011856171039844508,0.012690971457919958,0.05205701328150306,0.03356009070294784,101.93877551020408,1.7722853181287455,0.24879562451514708,0.9353252857169443,81.49958187712348,0.019544193404261823
0.1,0.4,4,180,42.42640687119285,died,4000,39,0.013960113960113959,0.01518157303331237,0.06463166463166461,0.034188034188034205,96.92307692307692,1.8683674276581728,0.2467897231908841,0.9511147092607884,67.45571940464434,0.018892932273957313
0.1,0.4,7,180,42.42640687119285,died,3500,34,0.013211951447245563,0.01633768646990485,0.06764705882352941,0.033169934640522876,101.23529411764706,1.7952133563201542,0.24889452121144048,0.9500239478815277,58.50105335758106,0.024054531859314884
0.1,0.4,5,180,42.42640687119285,died,4500,44,0.022077922077922075,0.022615530315658855,0.10465367965367965,0.032575757575757563,98.25,1.8426384038965802,0.23644045271732128,0.9284428460023896,72.04233856647998,0.028334186620892876
0.1,0.4,6,180,42.42640687119285,died,4500,44,0.008044733044733044,0.01010374851428291,0.04231601731601731,0.033080808080808086,91.9090909090909,1.974040248784914,0.2516677479454621,0.9463564903624918,74.57681099475994,0.015940280586038975
0.1,0.4,8,180,42.42640687119285,died,3500,34,0.009803921568627449,0.015479279878463521,0.057563025210084016,0.03235294117647059,100.73529411764706,1.8085571887389151,0.2455841578453122,0.9457980297002259,57.525141330641446,0.025677094720875173
0.1,0.4,11,180,42.42640687119285,died,3500,34,0.01302521008403361,0.015134623577829095,0.06237161531279177,0.030392156862745094,107.38235294117646,1.6856332208076428,0.24538229574926404,0.9712614207037729,58.47449840401277,0.02540411117832957
0.1,0.4,9,180,42.42640687119285,died,4500,44,0.013780663780663777,0.01565947049249518,0.06356421356421355,0.03358585858585859,104.72727272727273,1.7252075680201868,0.2504363130409822,0.9650779183995272,72.3666311951706,0.02488378066382049
